review_id,url_id,url,target_country,language,page_type,entity_source,impressions_W1,clicks_W1,primary_query,intent_alignment,usefulness_1_5,specificity_1_5,naturalness_1_5,localisation_1_5,factual_safety,scanner_flags,analyst_rating_1_5,classification,issue,current_excerpt,recommended_action,factual_source,clinical_gate,native_editor_status,copy_approval_status,owner,expected_user_benefit,evidence
CR-0031,U000960,https://www.myglobalhealth.online/czechia/en/blog/online-doctor-czechia-what-it-solves,Czechia,en,blog_post,CMS blog record online-doctor-czechia-what-it-solves (cz-en) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/cz-en.json,11,0,24/7 doctor,aligned,5,5,4,3,ok,em_dash_11.2/1k,4,Improve,Blog category label renders in the source language on this locale (untranslated taxonomy leak). Category 'Prakticke lekarstvi' on the /en page.,All articlesPraktické lékařstvíOnline doctor 24/7 in Czechia: what a remote consultation solves and what it does notAn online doctor is quick to reach but not right for everything. What can be assessed safely by,Translate the category label for en.,Emergency number 155 and scope limits stated on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,English readers see an English taxonomy,seo/tracking/raw/2026-09-15/A2-probe/text/U000960.txt
CR-0032,U000891,https://www.myglobalhealth.online/czechia/de/blog/neschopenka-krankschreibung-in-tschechien,Czechia,de,blog_post,CMS blog record neschopenka-krankschreibung-in-tschechien (cz-de) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/cz-de.json,3,0,neschopenka,aligned,4,5,4,3,ok,superlative_hits=4,3,Improve,Blog category label renders in the source language on this locale (untranslated taxonomy leak). Category 'Prakticke lekarstvi' on the /de page.,Alle ArtikelPraktické lékařstvíNeschopenka: wie die elektronische Krankschreibung in Tschechien funktioniertIn Tschechien stellt die behandelnde Praxis die Krankschreibung elektronisch aus und sendet sie direkt a,Translate the category label for de.,CSSZ rules cited on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",needed,proposed,,German readers see a German taxonomy,seo/tracking/raw/2026-09-15/A2-probe/text/U000891.txt
CR-0033,U000973,https://www.myglobalhealth.online/czechia/en/doctors/dr-ahmed-maklad,Czechia,en,doctor,CMS doctor record dr-ahmed-maklad (cz-en) via frontend/lib/content/get-public-doctors.ts rendered by frontend/lib/content/doctor-profile-page.tsx; dump .../api/doctors/cz-en.json,1,0,dr maklad,mismatched,3,4,4,3,risk,superlative_hits=3,1,Improve,"Czechia URL carries Ireland branding end to end: title 'Online Doctor Ireland', meta 'Serving patients across Ireland', body 'Global Health Ireland'. Plus 'one of Europe's most internationally recogni","DoctorDr Ahmed Maklad — General Practitioner, Global Health Ireland Dr Ahmed Maklad — General Practitioner at Global Health Ireland. Book an online video consultation.++Back to Czechia teamDoctor ProfileMUDr. Ahmed MakladMedical DoctorRevie","Rewrite title/meta/lede to the Czechia market and drop the medical-school superlative; keep MUDr., Masaryk University and the CLK registration.",Masaryk University degree and Czechia registration are on the page; the market claim and the school ranking are not sourced,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Visitors see the right country and verifiable credentials,seo/tracking/raw/2026-09-15/A2-probe/text/U000973.txt
CR-0034,HOME-CZ,https://www.myglobalhealth.online/czechia/cs,Czechia,cs,market_home,"frontend/app/[country]/[lang]/page.tsx + CMS page-content record HOME/cz/cs (hero, faq[]) via lib/content/get-page-content.ts + frontend/lib/content/country-home-copy.ts + frontend/locales/cs/home.json",124,8,global health,aligned,4,4,4,4,ok,none,4,Improve,Country name renders as the English slug inside localised copy (trust chips / 'registered in X'). 'Registrovano v Czechia' should read 'Registrovano v Cesku'. 8 clicks / 124 impressions is the best ma,"dem.Rezervovat konzultaciZobrazit službyRegistrováno v CzechiaDostupnost v reálném časeOnline konzultace{""@context"":""https://schema.org"",""@type"":""FAQPage"",""mainEntity"":[{""@type"":""Question"",""name"":""Jak probíhá online konzultace?"",""acceptedAn",Localise the country token in the trust ribbon.,CLK named in the page FAQ,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Czech copy reads as Czech throughout,seo/tracking/raw/2026-09-15/A2-probe/text/HOME-CZ.txt
CR-0035,U000953,https://www.myglobalhealth.online/czechia/en,Czechia,en,market_home,"frontend/app/[country]/[lang]/page.tsx + CMS page-content record HOME/cz/en (hero, faq[]) via lib/content/get-page-content.ts + frontend/lib/content/country-home-copy.ts + frontend/locales/en/home.json",41,2,czech doctor,aligned,4,4,4,4,ok,em_dash_8.1/1k,4,Protect,Correctly localised English home for Czechia; names CLK and states outcomes are not guaranteed.,"CzechiaCzechia8 availableOnline medical care in the Czech RepublicChoose a service, check live availability and book a video consultation with a doctor registered in the Czech Republic. Outcomes cannot be guaranteed in advance.Book Appointm",No change.,CLK named in the page FAQ,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Expats see the Czech regulator named,seo/tracking/raw/2026-09-15/A2-probe/text/U000953.txt
CR-0036,U000883,https://www.myglobalhealth.online/czechia/de,Czechia,de,market_home,"frontend/app/[country]/[lang]/page.tsx + CMS page-content record HOME/cz/de (hero, faq[]) via lib/content/get-page-content.ts + frontend/lib/content/country-home-copy.ts + frontend/locales/de/home.json",2,0,deutsch sprechender arzt in der nähe,partial,3,3,3,2,check,superlative_hits=11,2,Improve,Hero subtitle still uses the generic pan-market line 'registered with national medical councils across Europe' instead of the market regulator. German home for Czechia; 'Zugelassen in Czechia' keeps t,"d sprechen Sie mit zugelassenen Ärzten, die bei den nationalen Ärztekammern in ganz Europa registriert sind.Termin buchenLeistungen anzeigenZugelassen in CzechiaEchtzeitverfügbarkeitOnline-Konsultationen{""@context"":""https://schema.org"",""@ty",Replace the hero subtitle with the CLK wording used on the cs/en pages and localise the country token to 'Tschechien'.,CLK named in the page FAQ,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",needed,proposed,,"German visitors see the Czech regulator, in German",seo/tracking/raw/2026-09-15/A2-probe/text/U000883.txt
CR-0037,U001012,https://www.myglobalhealth.online/czechia/en/services/zenske-zdravi-online,Czechia,en,service,CMS service record zenske-zdravi-online (cz-en) via frontend/lib/content/get-public-services.ts + frontend/lib/content/service-hub-content*.ts; dump .../api/services/cz-en.json,7,0,online gynekologie,partial,4,4,3,4,ok,em_dash_20.0/1k,3,Improve,Service sells an English-language consultation; 20.0/1k em-dashes in the lede.,"++All consultationsOnline consultationWomen's Health — Confidential Online Assessment in EnglishContraception advice, hormonal assessment, menopause support, or a women's health concern addressed without a language barrier — same day, from","Rewrite the lede without dashes; keep price, CLK reviewer and the English-language scope, which is the actual differentiator.",950 Kc / 20 min and CLK 1172330197 reviewer shown on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Expats see the language promise without dash-heavy prose,seo/tracking/raw/2026-09-15/A2-probe/text/U001012.txt
CR-0038,U000942,https://www.myglobalhealth.online/czechia/de/services/zenske-zdravi-online,Czechia,de,service,CMS service record zenske-zdravi-online (cz-de) via frontend/lib/content/get-public-services.ts + frontend/lib/content/service-hub-content*.ts; dump .../api/services/cz-de.json,5,0,online-konsultation frauengesundheit,mismatched,3,3,3,2,check,superlative_hits=10,2,Improve,German page whose H1 and meta offer a consultation 'auf Englisch' - a German searcher is sent to an English-only service; also 20.4/1k em-dashes.,"++Alle BeratungenOnline-BeratungFrauengesundheit — vertrauliche Online-Beratung auf EnglischVerhütungsberatung, Hormonabklärung, Unterstützung in den Wechseljahren oder ein Anliegen zur Frauengesundheit ohne Sprachbarriere — noch am selben",Either state the languages actually available to a German speaker or retire the de variant of this service; do not leave a German page selling an English-only consultation.,950 Kc / 20 min and CLK 1172330197 reviewer shown on page,"yes - changes a clinical/credential/efficacy statement, needs the one in-market clinician approval",needed,proposed,,German searchers are not misled about consultation language,seo/tracking/raw/2026-09-15/A2-probe/text/U000942.txt
CR-0039,U000877,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,Czechia,cs,tool,frontend/locales/cs/tools.json:bmi-calculator via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,847,0,bmi kalkulačka,aligned,5,5,5,5,ok,none,5,Protect,"847 impressions, top tool in Czechia. Zero clicks because average position is 27-46, not because of the snippet.","ČeskoBMI kalkulačkaBezplatný nástrojBMI kalkulačkaZadejte svou výšku a hmotnost a uvidíte svůj index tělesné hmotnosti a jeho místo na škále Světové zdravotnické organizace pro dospělé.Metrické i imperiální jednotky (kg, stone, libry)Hmotno",No copy change; this is a ranking/authority problem for A7 and A9.,WHO adult BMI bands named on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Nothing to change for the reader,seo/tracking/raw/2026-09-15/A2-probe/text/U000877.txt
CR-0040,U000876,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,Czechia,cs,tool,frontend/locales/cs/tools.json:blood-pressure-chart via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,712,20,krevní tlak kalkulačka,aligned,5,5,5,5,ok,none,5,Protect,"712 impressions / 20 clicks at average position 4 - the strongest tool in the estate, but 3.7% CTR in the top 15 is still under par for position 4.","ČeskoTabulka krevního tlakuBezplatný nástrojKalkulačka a tabulka krevního tlakuZadejte dvě čísla ze svého tlakoměru a uvidíte, kam hodnota patří v evropské tabulce pro dospělé — a co s tím případně dělat.Evropské kategorie (ESC/ESH) pro dos",Title/meta test only: lead with the comparison and the same-day flag; do not touch the tool or the ESC/ESH categories.,ESC/ESH adult categories named on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,More of the people who already see it click it,seo/tracking/raw/2026-09-15/A2-probe/text/U000876.txt
CR-0041,U000879,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,Czechia,cs,tool,frontend/locales/cs/tools.json:due-date-calculator via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,273,2,těhotenská kalkulačka,aligned,5,5,5,5,ok,none,4,Protect,"Well-localised cs due-date tool, 273 impressions.","ČeskoTěhotenská kalkulačkaBezplatný nástrojTěhotenská kalkulačkaZadejte první den poslední menstruace a uvidíte předpokládaný termín porodu, v kolikátém týdnu jste dnes a kdy začíná každý trimestr.Zohledňuje cykly od 20 do 45 dnůData trimes",No change.,40-week table and term window stated on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Nothing to change for the reader,seo/tracking/raw/2026-09-15/A2-probe/text/U000879.txt
CR-0042,U000881,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,Czechia,cs,tool,frontend/locales/cs/tools.json:ovulation-calculator via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,157,1,ovulační kalkulačka,aligned,5,5,5,5,ok,none,4,Protect,Explains why ovulation is counted back from the next period - genuinely better than the '14th day' pages it competes with.,"ČeskoOvulační kalkulačkaBezplatný nástrojOvulační kalkulačkaZadejte první den poslední menstruace a uvidíte šest dnů s nejvyšší pravděpodobností otěhotnění, odhadovaný den ovulace a termín příští menstruace.Počítá se zpětně od příští menstr",No change.,Six-day fertile window method stated on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Users with non-28-day cycles get a correct window,seo/tracking/raw/2026-09-15/A2-probe/text/U000881.txt
CR-0043,U000878,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,Czechia,cs,tool,frontend/locales/cs/tools.json:calorie-calculator via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,153,1,kalorická kalkulačka,aligned,5,5,5,5,ok,none,4,Protect,Mifflin-St Jeor tool with correct pregnancy/under-18 caveats.,"ČeskoKalorická kalkulačkaBezplatný nástrojKalkulačka kaloriíZadejte pohlaví, věk, výšku, hmotnost a to, jak jste aktivní, a uvidíte, kolik kalorií za den spálíte — a kolik jich jíst, abyste hmotnost udrželi, zhubli nebo nabrali.Rovnice Miff",No change.,Mifflin-St Jeor equation named on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,"Users see maintenance, loss and gain in one view",seo/tracking/raw/2026-09-15/A2-probe/text/U000878.txt
CR-0044,U000875,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,Czechia,cs,tool,frontend/locales/cs/tools.json:adhd-test via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,112,4,adhd test,aligned,5,5,5,5,ok,none,5,Protect,"ASRS v1.1 Part A, correctly described as screening, not diagnosis. 112 impressions / 4 clicks.","ČeskoADHD testBezplatný nástrojADHD test pro dospěléOdpovězte na šest otázek o posledním půlroce a zjistěte, zda vaše odpovědi odpovídají vzorci, který screening ADHD u dospělých hledá.Screening ASRS v1.1, část A — šest otázekVyhodnocení po",No change.,ASRS v1.1 Part A named on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Users are told a screen is not a diagnosis,seo/tracking/raw/2026-09-15/A2-probe/text/U000875.txt
CR-0045,U000882,https://www.myglobalhealth.online/czechia/cs/tools/sore-throat-checker,Czechia,cs,tool,frontend/locales/cs/tools.json:sore-throat-checker via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,1,0,centorovo skore,aligned,5,5,5,5,ok,superlative_hits=3,4,Protect,McIsaac score used and named; red flags shown before scoring. 'Superlative' hits are score-band labels.,"ČeskoKontrola bolesti v krkuBezplatný nástrojAngína, nebo virová bolest v krku ČeskoOdpovězte na několik otázek o své bolesti v krku a zjistěte, jak pravděpodobná je bakteriální příčina a jaký bývá obvyklý další krok. Zabere to asi minutu.P",No change.,McIsaac score with age adjustment named on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Red flags surface before any score,seo/tracking/raw/2026-09-15/A2-probe/text/U000882.txt
CR-0046,U000952,https://www.myglobalhealth.online/czechia/de/tools/sore-throat-checker,Czechia,de,tool,frontend/locales/de/tools.json:sore-throat-checker via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,1,0,habe ich eine mandelentzündung teste dich,aligned,4,5,4,4,ok,superlative_hits=4,4,Protect,Faithful German version of the McIsaac checker.,"TschechienHalsschmerzen-CheckKostenloses ToolMandelentzündung und Halsschmerzen-Check TschechienBeantworten Sie ein paar Fragen zu Ihren Halsschmerzen, um zu sehen, wie wahrscheinlich eine bakterielle Ursache ist und was der übliche nächste",No change.,McIsaac score named on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",needed,proposed,,German readers get the same safety-first ordering,seo/tracking/raw/2026-09-15/A2-probe/text/U000952.txt
CR-0047,U001019,https://www.myglobalhealth.online/czechia/en/tools/due-date-calculator,Czechia,en,tool,frontend/locales/en/tools.json:due-date-calculator via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,0,0,,partial,4,4,4,4,ok,soft_404_signal,3,Consolidate,"scanner soft_404_signal is a FALSE POSITIVE (week table digits '...40'+'41' read as '404' in the de-spaced DOM text extract). English due-date tool on a Czechia URL, 0 impressions.","CzechiaDue date calculatorFree health toolDue date calculator CzechiaEnter the first day of your last period to see your estimated due date, how far along you are today, and when each trimester starts.Adjusts for cycle lengths from 20 to 45","Fold into the market locale policy; keep cs, review en.",Same clinical content as the cs page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Fewer near-duplicate tool pages,seo/tracking/raw/2026-09-15/A2-probe/text/U001019.txt
CR-0048,U001088,https://www.myglobalhealth.online/czechia/es/tools/due-date-calculator,Czechia,es,tool,frontend/locales/es/tools.json:due-date-calculator via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,0,0,,partial,3,4,4,4,ok,soft_404_signal,2,Consider retirement,"scanner soft_404_signal is a FALSE POSITIVE (week table digits '...40'+'41' read as '404' in the de-spaced DOM text extract). Spanish due-date tool on a Czechia URL, 0 impressions.","ChequiaCalculadora de embarazoHerramienta gratuitaCalculadora de embarazo ChequiaIndica el primer día de tu última regla para ver tu fecha probable de parto, en qué semana estás hoy y cuándo empieza cada trimestre.Se ajusta a ciclos de 20 a",Retire or noindex unless a Czechia es audience is evidenced.,Same clinical content as the cs page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Less duplicate tool inventory,seo/tracking/raw/2026-09-15/A2-probe/text/U001088.txt
CR-0049,U001157,https://www.myglobalhealth.online/czechia/pt/tools/due-date-calculator,Czechia,pt,tool,frontend/locales/pt/tools.json:due-date-calculator via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,0,0,,partial,3,4,4,4,ok,soft_404_signal,2,Consider retirement,"scanner soft_404_signal is a FALSE POSITIVE (week table digits '...40'+'41' read as '404' in the de-spaced DOM text extract). Portuguese due-date tool on a Czechia URL, 0 impressions.","ChéquiaCalculadora da data do partoFerramenta gratuitaCalculadora da data do parto ChéquiaIndique o primeiro dia da última menstruação para ver a data provável do parto, em que semana está hoje e quando começa cada trimestre.Ajusta-se a cic",Retire or noindex unless a Czechia pt audience is evidenced.,Same clinical content as the cs page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Less duplicate tool inventory,seo/tracking/raw/2026-09-15/A2-probe/text/U001157.txt
CR-0050,U001226,https://www.myglobalhealth.online/czechia/ro/tools/due-date-calculator,Czechia,ro,tool,frontend/locales/ro/tools.json:due-date-calculator via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,0,0,,partial,3,4,4,4,ok,soft_404_signal,2,Consider retirement,"scanner soft_404_signal is a FALSE POSITIVE (week table digits '...40'+'41' read as '404' in the de-spaced DOM text extract). Romanian due-date tool on a Czechia URL, 0 impressions.","CehiaCalculator de sarcinăInstrument gratuitCalculator de sarcină CehiaIntrodu prima zi a ultimei menstruații ca să vezi data probabilă a nașterii, în ce săptămână ești astăzi și când începe fiecare trimestru.Se ajustează pentru cicluri de",Retire or noindex unless a Czechia ro audience is evidenced.,Same clinical content as the cs page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Less duplicate tool inventory,seo/tracking/raw/2026-09-15/A2-probe/text/U001226.txt
CR-0051,U001917,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing,Ireland,en,blog_post,CMS blog record illness-benefit-payment-ireland-rate-tax-timing (ie-en) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/ie-en.json,851,4,illness benefit rates,aligned,5,5,5,5,ok,none,5,Protect,Top page in the set (851 impressions). Answers the rate question in the first screen and dates the rules.,"All articlesGeneral PracticeHow Much Is Illness Benefit in Ireland in 2026?Current Illness Benefit rates, waiting days, weekly payment timing, tax and the difference from employer sick pay.Global Health Medical TeamAugust 29, 20265 min read",No change.,"DSP, MyWelfare, Revenue and Dept of Enterprise linked on page; rules verified 25 August 2026","no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,The 2026 rate answered above the fold,seo/tracking/raw/2026-09-15/A2-probe/text/U001917.txt
CR-0052,U001916,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,Ireland,en,blog_post,CMS blog record illness-benefit-ireland-how-to-claim (ie-en) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/ie-en.json,749,3,illness benefit ireland,aligned,5,5,5,5,ok,em_dash_8.9/1k,5,Protect,749 impressions; IB1 and Certificate of Incapacity for Work correctly separated from statutory sick pay.,All articlesGeneral PracticeIllness Benefit in Ireland: How to Claim and How to Get the Medical CertificateIllness Benefit is the Department of Social Protection payment for people who cannot work through illness or injury. Here is what the,No change.,DSP rules cited; reviewed by Dr Ahmed Maklad 26 August 2026,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Claimants know which form does what,seo/tracking/raw/2026-09-15/A2-probe/text/U001916.txt
CR-0053,U001913,https://www.myglobalhealth.online/ireland/en/blog/blood-tests-dublin-what-to-know,Ireland,en,blog_post,CMS blog record blood-tests-dublin-what-to-know (ie-en) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/ie-en.json,258,0,blood test dublin,aligned,5,5,5,5,ok,none,4,Protect,Genuinely Dublin-specific; ranks p41-44 for 'blood test dublin'.,"All articlesGeneral PracticeBlood Tests in Dublin: Where to Go, What to Ask For, and How to Read the ResultWhere you can have bloods taken in Dublin, why the referral matters more than the panel, what the common tests actually measure, and","No copy change; the gap is authority, not quality.",Reviewed by Dr Ahmed Maklad; referral routes described,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Readers learn the referral matters more than the panel,seo/tracking/raw/2026-09-15/A2-probe/text/U001913.txt
CR-0054,U001912,https://www.myglobalhealth.online/ireland/en/blog/adult-adhd-assessment-ireland-public-private-routes,Ireland,en,blog_post,CMS blog record adult-adhd-assessment-ireland-public-private-routes (ie-en) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/ie-en.json,93,0,adhd assessment,aligned,5,5,5,5,ok,none,4,Protect,Names the HSE pathway and the private cost range honestly.,"All articlesMental HealthAdult ADHD assessment in Ireland: the public route, the private route and what actually happens in the roomHow an adult gets assessed for ADHD in Ireland, why the HSE pathway goes through your local mental health te",No change.,NICE-standard assessment described; reviewed by Dr Ahmed Maklad,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Both routes and their real trade-offs,seo/tracking/raw/2026-09-15/A2-probe/text/U001912.txt
CR-0055,U002052,https://www.myglobalhealth.online/ireland/es/blog/analisis-de-sangre-dublin,Ireland,es,blog_post,CMS blog record analisis-de-sangre-dublin (ie-es) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/ie-es.json,3,0,analisis de sangre,partial,4,4,4,3,ok,soft_404_signal,3,Consolidate,scanner soft_404_signal is a FALSE POSITIVE (week table digits '...40'+'41' read as '404' in the de-spaced DOM text extract). (the substring 'no encontr' falls inside 'uno encontrado en internet'). Sp,"Todos los artículosGeneral PracticeAnálisis de sangre en Dublín: dónde hacerlos, qué pedir y cómo leer el resultadoDónde puede hacerse análisis en Dublín, por qué la petición importa más que el panel, qué miden realmente las pruebas más hab",Fix the scanner rule; then decide whether Ireland es blog translations earn their place or should fold into the en original.,Same sources as the en original,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Fewer thin translated duplicates,seo/tracking/raw/2026-09-15/A2-probe/text/U002052.txt
CR-0056,U001658,https://www.myglobalhealth.online/ireland/cs/blog/jak-ziskat-online-potvrzeni-o-pracovni-neschopnosti-v-irsku,Ireland,cs,blog_post,CMS blog record jak-ziskat-online-potvrzeni-o-pracovni-neschopnosti-v-irsku (ie-cs) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/ie-cs.json,2,0,online panel v irsku,partial,4,4,4,4,ok,google_folded_canonical,3,Consolidate,Google folded this cs page to another canonical; a Czech-language Ireland sick-cert guide with 2 impressions.,"Všechny článkyGeneral PracticeJak získat online potvrzení o pracovní neschopnosti v IrskuCo probíhá při online konzultaci kvůli potvrzení, co potřebuje zaměstnavatel a jak se zákonná náhrada mzdy liší od Illness Benefit.Global Health Medica",Accept the fold; do not invest further in cs Ireland blog translations without demand evidence.,IMC registration and statutory sick pay described; reviewed by Dr Ahmed Maklad,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Effort moves to pages Google indexes,seo/tracking/raw/2026-09-15/A2-probe/text/U001658.txt
CR-0057,U001789,https://www.myglobalhealth.online/ireland/de/blog/illness-benefit-irland-so-beantragen,Ireland,de,blog_post,CMS blog record illness-benefit-irland-so-beantragen (ie-de) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/ie-de.json,2,0,apply for sick pay ireland,aligned,4,5,4,4,ok,superlative_hits=3,3,Improve,Blog category label renders in the source language on this locale (untranslated taxonomy leak). Category 'General Practice' on the /de page.,"Alle ArtikelGeneral PracticeIllness Benefit in Irland: Antrag stellen und ärztliche Bescheinigung erhaltenIllness Benefit ist die Leistung des irischen Department of Social Protection für Menschen, die wegen Kran",Translate the category label for de.,DSP rules cited; reviewed by Dr Ahmed Maklad,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",needed,proposed,,German readers see a German taxonomy,seo/tracking/raw/2026-09-15/A2-probe/text/U001789.txt
CR-0058,U001915,https://www.myglobalhealth.online/ireland/en/blog/hand-foot-and-mouth-disease-signs-and-treatment,Ireland,en,blog_post,CMS blog record hand-foot-and-mouth-disease-signs-and-treatment (ie-en) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/ie-en.json,0,0,,partial,4,4,4,4,check,em_dash_9.9/1k|google_folded_canonical,2,Consolidate,Google-folded duplicate; meta description is truncated mid-sentence ('how to stop...'); faq_count 0 while its siblings carry FAQ.,"eatment at home, when to go to A&E, and how to stop it spreading inGlobal Health Medical TeamJune 6, 202613 min readLast reviewed June 15, 2026Clinically reviewed by Dr Tiago Miguel Figueira+On this pageWhat is Hand, Foot and Mouth Disease?",Rewrite the meta to a complete sentence and keep ONE canonical HFMD article for the estate; the Portugal copies duplicate it.,HSE-aligned guidance cited on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,One authoritative HFMD page instead of four,seo/tracking/raw/2026-09-15/A2-probe/text/U001915.txt
CR-0059,U001661,https://www.myglobalhealth.online/ireland/cs/blog/nemoc-rukou-nohou-a-ust-priznaky-a-lecba,Ireland,cs,blog_post,CMS blog record nemoc-rukou-nohou-a-ust-priznaky-a-lecba (ie-cs) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/ie-cs.json,0,0,,partial,3,4,4,4,check,google_folded_canonical,2,Consolidate,"Czech copy of the HFMD article, Google-folded, 0 impressions; category 'Telemedicine' untranslated.","Všechny článkyTelemedicineNemoc rukou, nohou a úst: příznaky a léčbaPrůvodce podle doporučení HSE: příznaky nemoci rukou, nohou a úst u dětí v Irsku, domácí léčba, varovné příznaky a prevence šíření.Global Health M",Fold into the single canonical HFMD article; translate the category if the page is kept.,HSE-aligned guidance cited on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,One HFMD page instead of four,seo/tracking/raw/2026-09-15/A2-probe/text/U001661.txt
