"page_or_file","topic","risk_level","claims_requiring_review","source_status","reviewer_required","publish_status","notes","reviewer_name","reviewer_doctor_id","clinical_reviewer_professional_body","clinical_reviewer_specialty_id","reviewed_at","official_source_references","approved_sha256","compliance_reviewer_name","compliance_reviewer_id","compliance_reviewed_at","content_owner_name","content_owner_id","content_owner_reviewed_at","fact_register_sha256","credential_subject_doctor_id","delegated_by_doctor_id"
"backend/scripts/data/portugal-doctors-datasheet.ts -> https://www.myglobalhealth.online/portugal/pt/doctors/dr-vitor-hugo-de-matos-pais","doctor-profile-vitor-pais","high","Biography, qualifications, registration, languages, service scope, locations and availability claims.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; biography, qualifications, registration, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://ordemdosmedicos.pt/files/pdfs/Na5D-CasteloBranco_Cedula.pdf","557f9302efa5a72508f6f055b31183b477eab81aeae508f66ba906829367cf2d","","","","","","","2c16913e6a76b74139fea5294b6120cfa45885f5dcc1a3c0c2a83345d72d6391","cmqwnkj7y00037gju0x972cj4",""
"https://www.myglobalhealth.online/portugal/pt/blog/doenca-mao-pe-boca-sinais-e-tratamento","hand-foot-mouth-article","high","Symptoms, treatment, urgent-care signs and transmission-prevention wording.","Portugal-specific clinician review and official source still required.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: b298d85547c0c17c15e82974925f113726477472c2e976fe9d33a41d98f9ead9. Removes the Ireland/HSE attribution; exact clinician approval is not recorded.","","","","","","","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors","doctor-directory","high","Clinician availability and credential-summary wording.","Official professional registers identified; exact clinician approval still required.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: f93a75c5b1aaa2b4b8b996b4d8e9ded6b40a48c32e0024654a950eebdc969ced. Metadata only; profiles and credentials remain unchanged.","","","","","","https://ordemdosmedicos.pt/files/pdfs/f5dw-Porto_Cedula.pdf | https://www.ordemdospsicologos.pt/pt/membros","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors/beatriz-carvalho","doctor-profile-beatriz-carvalho","high","Professional registration, qualifications, languages and availability claims.","Official OPP directory conflicts with the live identity: OPP 31618 returns Beatriz Sousa, not Beatriz Carvalho.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: bdcd563dd09ae08394faf4a74412dde67ec2ff404c08168953155bc6232bb4bc. Metadata only; biography and credentials remain unchanged. Do not publish or alter the protected credential until authoritative OPP documentation confirms or corrects the identity.","","","","","","https://www.ordemdospsicologos.pt/pt/membros","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-ana-leal-neto","doctor-profile-ana-leal-neto","high","Professional registration, specialty, qualifications, languages and availability claims.","Official OM registration recorded; retained qualification claims require clinician confirmation.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: c8258729d68fa087f011ef03642df7937678a24dfea43df8b762950988315df1. Metadata only; biography and credentials remain unchanged.","","","","","","https://ordemdosmedicos.pt/files/pdfs/f5dw-Porto_Cedula.pdf","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-egas-moura","doctor-profile-egas-moura","high","Professional registration, specialty, qualifications, experience, languages and availability claims.","Official OM registration recorded; retained qualification claims require clinician confirmation.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: f9ba938429718e737624022e1888f606420466bb45968f10f08a5a61ce74c23b. Metadata only; biography and credentials remain unchanged.","","","","","","https://ordemdosmedicos.pt/files/pdfs/f5dw-Porto_Cedula.pdf","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-joana-branco-maia","doctor-profile-joana-branco-maia","high","Dual professional registrations, qualifications, scope and availability claims.","Official OM and OPP registrations recorded; retained qualification claims require clinician confirmation.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: 2da8265888042b2f50c0de78d3dbee0c75c4331415e5957a06075d5cc5627e33. Metadata only; biography and credentials remain unchanged.","","","","","","https://ordemdosmedicos.pt/files/pdfs/f5dw-Porto_Cedula.pdf | https://www.ordemdospsicologos.pt/ficheiros/documentos/cadernos_orgaos_nacionais_e_regionais_2024.pdf","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-joao-de-oliveira-e-silva","doctor-profile-joao-oliveira-silva","high","Professional registration, specialty, qualifications, languages and availability claims.","Official OM registration recorded; retained qualification claims require clinician confirmation.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: e8ca811003ffc644177d21f95b30a84795c510b9a585db8813cf660567d58fc0. Metadata only; biography and credentials remain unchanged.","","","","","","https://ordemdosmedicos.pt/files/pdfs/f5dw-Porto_Cedula.pdf","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-lucas-alvarenga-berto","doctor-profile-lucas-alvarenga-berto","high","Professional registration, qualifications, languages and availability claims.","Official OM registration recorded; retained qualification claims require clinician confirmation.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: a108de2fd84234d0062f89757e692c81b7c1d62d06dae528240446c2776c12ce. Metadata only; biography and credentials remain unchanged.","","","","","","https://ordemdosmedicos.pt/files/pdfs/f5dw-Porto_Cedula.pdf","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-margarida-andrade","doctor-profile-margarida-andrade","high","Professional registration, specialty, qualifications, languages and availability claims.","Official OM registration recorded; retained qualification claims require clinician confirmation.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: 70987eb28a59da3f498737df8c0b316f3d144072f2fd670751c6cadcc9d5e816. Metadata only; biography and credentials remain unchanged.","","","","","","https://ordemdosmedicos.pt/files/pdfs/K6Rz-LisboaCidade_Cedula.pdf","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-pedro-santos","doctor-profile-pedro-santos","high","Professional registration, specialty, qualifications, experience, languages and availability claims.","Official OM registration recorded; retained qualification claims require clinician confirmation.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: f90230d345e25ea806663d454c637989c0f16b929cb91fa17a1c0f4b42d255e9. Metadata only; biography and credentials remain unchanged.","","","","","","https://ordemdosmedicos.pt/files/pdfs/HBTv-Aveiro_Cedula.pdf","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-ruben-pereira","doctor-profile-ruben-pereira","high","Professional registration, specialty, qualifications, languages and availability claims.","Official OM registration recorded; retained qualification claims require clinician confirmation.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: d11ba1bfb31c843dc797695702eeac787a4f67d964ca230aa767e825611b46aa. Metadata only; biography and credentials remain unchanged.","","","","","","https://ordemdosmedicos.pt/files/pdfs/f5dw-Porto_Cedula.pdf","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-rui-diogo-rodrigues","doctor-profile-rui-diogo-rodrigues","high","Professional registration, specialty, qualifications, languages and availability claims.","Official OM public registry API verified registration 74473; retained qualification claims still require clinician approval.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: 61cbdd93c9d9d8bb03cd9ba91501f712ff60cd4573bbe990a6c2ab699082465e. Metadata only; biography and credentials remain unchanged.","","","","","","https://ordemdosmedicos.pt/api/v1/doctors/search?licenseNumber=74473&sortBy=name&pageIndex=1","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors/dra-ana-varges-gomes","doctor-profile-ana-varges-gomes","high","Professional registration, specialty, qualifications and availability claims.","Official OM registration recorded; retained qualification claims require clinician confirmation.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: ff538471b2c0b2cc8a7867eedeab93ad69b9ed763bb08371f60aabc8b78a5f39. Metadata only; biography and credentials remain unchanged.","","","","","","https://ordemdosmedicos.pt/files/pdfs/f5dw-Porto_Cedula.pdf","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/doctors/dra-nadia-cavaco","doctor-profile-nadia-cavaco","high","Professional registration, qualifications and availability claims.","Official OM registration recorded; retained qualification claims require clinician confirmation.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: b76bc51e6985a5c0696d56880961f48093c7ec48fd8ba18dcd17c4ea6f420b5b. Metadata only; biography and credentials remain unchanged.","","","","","","https://ordemdosmedicos.pt/files/pdfs/a0mK-Evora_Cedula.pdf","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/gp-consultation-online","gp-consultation-hub","medium","Teleconsultation scope, availability and booking wording.","Official ERS teleconsultation guidance recorded; exact clinician approval still required.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: 244ef8975a2553320757d2660b46f89e71d993e6e0829bead478f1282d113a6c. Metadata only; visible clinical copy and booking data remain unchanged.","","","","","","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/health/infecoes-respiratorias","respiratory-infections-guide","high","Respiratory symptoms and when to seek medical assessment.","Official DGS respiratory-infection guidance recorded; exact clinician approval still required.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: 35da04bd1e641e165d38c023406e32ba36f7fdb96eb56b9276471b5cd857be9a. Metadata only; visible clinical copy remains unchanged.","","","","","","https://www.dgs.pt/areas-em-destaque/infeccoes-respiratorias.aspx","","","","","","","","","",""
"https://www.myglobalhealth.online/portugal/pt/see-a-specialist","specialist-consultation-hub","medium","Specialty availability and booking wording.","Official ERS teleconsultation guidance recorded; exact clinician approval still required.","Portugal-registered clinician","blocked_pending_review","Candidate SHA-256: 099683bc4b57587647f160a05962d21c1df26e0b44f266540cd1f43bbf15ecd6. Metadata only; visible clinical copy and booking data remain unchanged.","","","","","","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/","","","","","","","","","",""
