"cluster_id","parent_topic","keyword","normalised_keyword","country","language","keyword_source","source_competitor","seed_keyword","intent","funnel_stage","recommended_page_type","search_volume","keyword_difficulty","competition","cpc_eur","trend","serp_features","dronline_position","dronline_url","knok_position","knok_url","best_competitor","best_competitor_position","competitor_estimated_traffic","target_position","target_url","target_impressions","target_clicks","target_ctr","keyword_gap","business_fit","service_fit","clinical_risk","serp_fit","attainability","opportunity_score","recommended_action","proposed_target_url","priority","data_source","collected_at","notes"
"online-doctor","online doctor","consultor médico","consultor médico","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","market/service landing page","210","0","0.15000000596046448","1.5799999237060547","[{""year"":2026,""month"":7,""search_volume"":170},{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":260},{""year"":2026,""month"":4,""search_volume"":260},{""year"":2026,""month"":3,""search_volume"":320},{""year"":2026,""month"":2,""search_volume"":210},{""year"":2026,""month"":1,""search_volume"":320},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":320},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":210}]","organic|people_also_ask|related_searches|images","55","https://dronline.pt/","","","dronline.pt","55","0.4410000145435333","","","","","","yes","5","active-service","2","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P2","competitor_ranked","2026-08-31",""
"online-doctor","online doctor","ficha de aptidão medica","ficha de aptidão medica","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","market/service landing page","210","0","0.17000000178813934","2.8899998664855957","[{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":260},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":110},{""year"":2025,""month"":11,""search_volume"":260},{""year"":2025,""month"":10,""search_volume"":320},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":140},{""year"":2025,""month"":7,""search_volume"":210}]","ai_overview|organic|images|people_also_ask|related_searches","48","https://dronline.pt/produto/atestado-profissional/","","","dronline.pt","48","0.4410000145435333","","","","","","yes","5","active-service","2","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","como pedir baixa psicologica","como pedir baixa psicologica","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","170","0","0.27000001072883606","0.5299999713897705","[{""year"":2026,""month"":6,""search_volume"":110},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":140},{""year"":2026,""month"":3,""search_volume"":140},{""year"":2026,""month"":2,""search_volume"":140},{""year"":2026,""month"":1,""search_volume"":140},{""year"":2025,""month"":12,""search_volume"":110},{""year"":2025,""month"":11,""search_volume"":140},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":170},{""year"":2025,""month"":8,""search_volume"":170},{""year"":2025,""month"":7,""search_volume"":260}]","ai_overview|people_also_ask|organic|related_searches","7","https://dronline.pt/produto/baixa-medica-online-certificado-de-incapacidade-temporaria/","","","dronline.pt","7","7.9730000495910645","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","baixa médica 3 dias e paga","baixa médica 3 dias e paga","Portugal","pt-PT","competitor_ranked|openseo_seed","dronline.pt","atestado médico online|baixa médica","informational","awareness","service landing page","170","0","0.12","0.02","[{""year"":2026,""month"":7,""searchVolume"":90},{""year"":2026,""month"":6,""searchVolume"":90},{""year"":2026,""month"":5,""searchVolume"":140},{""year"":2026,""month"":4,""searchVolume"":140},{""year"":2026,""month"":3,""searchVolume"":140},{""year"":2026,""month"":2,""searchVolume"":110},{""year"":2026,""month"":1,""searchVolume"":210},{""year"":2025,""month"":12,""searchVolume"":260},{""year"":2025,""month"":11,""searchVolume"":260},{""year"":2025,""month"":10,""searchVolume"":260},{""year"":2025,""month"":9,""searchVolume"":210},{""year"":2025,""month"":8,""searchVolume"":210}]","ai_overview|organic|people_also_ask|related_searches","10","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","10","3.3489999771118164","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked|openseo_seed","2026-08-31",""
"sick-leave","sick leave","baixa médica adse pagamento","baixa médica adse pagamento","Portugal","pt-PT","competitor_ranked|openseo_seed","dronline.pt","atestado médico online","informational","awareness","service landing page","170","0","0","","[{""year"":2026,""month"":7,""searchVolume"":70},{""year"":2026,""month"":6,""searchVolume"":90},{""year"":2026,""month"":5,""searchVolume"":110},{""year"":2026,""month"":4,""searchVolume"":140},{""year"":2026,""month"":3,""searchVolume"":170},{""year"":2026,""month"":2,""searchVolume"":140},{""year"":2026,""month"":1,""searchVolume"":140},{""year"":2025,""month"":12,""searchVolume"":140},{""year"":2025,""month"":11,""searchVolume"":210},{""year"":2025,""month"":10,""searchVolume"":260},{""year"":2025,""month"":9,""searchVolume"":210},{""year"":2025,""month"":8,""searchVolume"":170}]","ai_overview|organic|people_also_ask|related_searches","4","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","4","27.540000915527344","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked|openseo_seed","2026-08-31",""
"sick-leave","sick leave","baixa médica por doença oncológica remunerada a 100","baixa médica por doença oncológica remunerada a 100","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","170","0","0.019999999552965164","","[{""year"":2026,""month"":6,""search_volume"":90},{""year"":2026,""month"":5,""search_volume"":110},{""year"":2026,""month"":4,""search_volume"":110},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":140},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":210},{""year"":2025,""month"":7,""search_volume"":210}]","ai_overview|organic|people_also_ask|related_searches","63","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","63","0.3569999933242798","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","baixa por assistência a cônjuge é paga","baixa por assistência a cônjuge é paga","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","170","0","0.019999999552965164","","[{""year"":2026,""month"":7,""search_volume"":90},{""year"":2026,""month"":6,""search_volume"":70},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":50},{""year"":2026,""month"":1,""search_volume"":10},{""year"":2025,""month"":12,""search_volume"":90},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":390},{""year"":2025,""month"":8,""search_volume"":320}]","ai_overview|organic|people_also_ask|related_searches","28","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","28","0.3569999933242798","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","baixa por internamento","baixa por internamento","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","170","0","0.009999999776482582","","[{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":110},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":140},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":110},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":170},{""year"":2025,""month"":8,""search_volume"":170},{""year"":2025,""month"":7,""search_volume"":170}]","ai_overview|organic|people_also_ask|related_searches","8","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","8","5.745999813079834","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","calculadora baixa medica","calculadora baixa medica","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","170","0","0.23999999463558197","0.10999999940395355","[{""year"":2026,""month"":6,""search_volume"":70},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":140},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":170},{""year"":2025,""month"":7,""search_volume"":260}]","organic|ai_overview|people_also_ask|related_searches","2","https://dronline.pt/simulador-baixa-medica/","","","dronline.pt","2","27.540000915527344","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","calculadora baixa médica","calculadora baixa médica","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","170","0","0.23999999463558197","0.10999999940395355","[{""year"":2026,""month"":6,""search_volume"":70},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":140},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":170},{""year"":2025,""month"":7,""search_volume"":260}]","organic|people_also_ask|related_searches","2","https://dronline.pt/simulador-baixa-medica/","","","dronline.pt","2","27.540000915527344","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","calcular baixa médica","calcular baixa médica","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","170","0","0.23999999463558197","0.11999999731779099","[{""year"":2026,""month"":7,""search_volume"":90},{""year"":2026,""month"":6,""search_volume"":70},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":140},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":170}]","ai_overview|organic|people_also_ask|related_searches","4","https://dronline.pt/simulador-baixa-medica/","","","dronline.pt","4","16.541000366210938","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","calculo baixa medica","calculo baixa medica","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","170","0","0.23999999463558197","0.11999999731779099","[{""year"":2026,""month"":7,""search_volume"":90},{""year"":2026,""month"":6,""search_volume"":70},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":140},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":170}]","ai_overview|organic|people_also_ask|related_searches","4","https://dronline.pt/simulador-baixa-medica/","","","dronline.pt","4","16.541000366210938","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","perda de férias por baixa médica","perda de férias por baixa médica","Portugal","pt-PT","competitor_ranked","mediconanet.pt","","informational","awareness","service landing page","170","0","0.009999999776482582","0.6899999976158142","[{""year"":2026,""month"":7,""search_volume"":110},{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":260},{""year"":2026,""month"":1,""search_volume"":390},{""year"":2025,""month"":12,""search_volume"":320},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":20},{""year"":2025,""month"":9,""search_volume"":20},{""year"":2025,""month"":8,""search_volume"":10}]","ai_overview|people_also_ask|organic|video|related_searches","","","","","mediconanet.pt","4","27.540000915527344","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","quantos dias tenho para entregar a baixa","quantos dias tenho para entregar a baixa","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","170","0","0.029999999329447746","0.019999999552965164","[{""year"":2026,""month"":7,""search_volume"":170},{""year"":2026,""month"":6,""search_volume"":260},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":260},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":140},{""year"":2025,""month"":8,""search_volume"":170}]","ai_overview|people_also_ask|organic|related_searches","19","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","19","0.7310000061988831","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","retomar baixa medica","retomar baixa medica","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","170","0","0.03999999910593033","","[{""year"":2026,""month"":6,""search_volume"":50},{""year"":2026,""month"":5,""search_volume"":70},{""year"":2026,""month"":4,""search_volume"":90},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":110},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":260},{""year"":2025,""month"":7,""search_volume"":320}]","ai_overview|organic|people_also_ask|related_searches","35","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","35","0.3569999933242798","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","simulador baixa médica 2025","simulador baixa médica 2025","Portugal","pt-PT","competitor_ranked|openseo_seed","dronline.pt","baixa médica|referenciação médica","informational","awareness","service landing page","170","0","","","[{""year"":2026,""month"":7,""searchVolume"":0},{""year"":2026,""month"":6,""searchVolume"":0},{""year"":2026,""month"":5,""searchVolume"":10},{""year"":2026,""month"":4,""searchVolume"":10},{""year"":2026,""month"":3,""searchVolume"":20},{""year"":2026,""month"":2,""searchVolume"":30},{""year"":2026,""month"":1,""searchVolume"":110},{""year"":2025,""month"":12,""searchVolume"":260},{""year"":2025,""month"":11,""searchVolume"":320},{""year"":2025,""month"":10,""searchVolume"":320},{""year"":2025,""month"":9,""searchVolume"":390},{""year"":2025,""month"":8,""searchVolume"":320}]","organic|people_also_ask|related_searches","5","https://dronline.pt/simulador-baixa-medica/","","","dronline.pt","5","7.9730000495910645","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked|openseo_seed","2026-08-31",""
"sick-leave","sick leave","tipos de baixa médica","tipos de baixa médica","Portugal","pt-PT","competitor_ranked|openseo_seed","dronline.pt","atestado médico online|baixa médica","informational","awareness","service landing page","170","0","0.08","0.38","[{""year"":2026,""month"":7,""searchVolume"":110},{""year"":2026,""month"":6,""searchVolume"":110},{""year"":2026,""month"":5,""searchVolume"":140},{""year"":2026,""month"":4,""searchVolume"":140},{""year"":2026,""month"":3,""searchVolume"":170},{""year"":2026,""month"":2,""searchVolume"":140},{""year"":2026,""month"":1,""searchVolume"":140},{""year"":2025,""month"":12,""searchVolume"":110},{""year"":2025,""month"":11,""searchVolume"":140},{""year"":2025,""month"":10,""searchVolume"":210},{""year"":2025,""month"":9,""searchVolume"":260},{""year"":2025,""month"":8,""searchVolume"":210}]","ai_overview|people_also_ask|organic|images|related_searches","10","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","10","4.3520002365112305","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked|openseo_seed","2026-08-31",""
"sick-leave","sick leave","valor baixa médica","valor baixa médica","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","170","0","0.1599999964237213","0.12999999523162842","[{""year"":2026,""month"":7,""search_volume"":140},{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":210}]","ai_overview|organic|people_also_ask|related_searches","8","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","8","5.745999813079834","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"online-doctor","online doctor","medico a casa","medico a casa","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","market/service landing page","170","0","0.7599999904632568","2.440000057220459","[{""year"":2026,""month"":6,""search_volume"":90},{""year"":2026,""month"":5,""search_volume"":110},{""year"":2026,""month"":4,""search_volume"":90},{""year"":2026,""month"":3,""search_volume"":140},{""year"":2026,""month"":2,""search_volume"":110},{""year"":2026,""month"":1,""search_volume"":320},{""year"":2025,""month"":12,""search_volume"":480},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":140},{""year"":2025,""month"":9,""search_volume"":140},{""year"":2025,""month"":8,""search_volume"":140},{""year"":2025,""month"":7,""search_volume"":140}]","ai_overview|organic|people_also_ask|images|related_searches|knowledge_graph|google_reviews","60","https://dronline.pt/","","","dronline.pt","60","0.3569999933242798","","","","","","yes","5","active-service","2","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P2","competitor_ranked","2026-08-31",""
"family-medicine","family medicine","medico familia","medico familia","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","170","6","0.1599999964237213","4.989999771118164","[{""year"":2026,""month"":7,""search_volume"":170},{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":140},{""year"":2026,""month"":3,""search_volume"":320},{""year"":2026,""month"":2,""search_volume"":140},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":90},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":170},{""year"":2025,""month"":9,""search_volume"":170},{""year"":2025,""month"":8,""search_volume"":170}]","organic|people_also_ask|video|related_searches|knowledge_graph|google_reviews|images","13","https://dronline.pt/","","","dronline.pt","13","1.9210000038146973","","","","","","yes","5","active-service","2","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/medicina-geral-e-familiar","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","após 3 anos de baixa médica","após 3 anos de baixa médica","Portugal","pt-PT","competitor_ranked|openseo_seed","dronline.pt","baixa médica","informational","awareness","service landing page","140","0","0.029999999329447746","0.38999998569488525","[{""year"":2026,""month"":7,""searchVolume"":70},{""year"":2026,""month"":6,""searchVolume"":70},{""year"":2026,""month"":5,""searchVolume"":90},{""year"":2026,""month"":4,""searchVolume"":110},{""year"":2026,""month"":3,""searchVolume"":90},{""year"":2026,""month"":2,""searchVolume"":90},{""year"":2026,""month"":1,""searchVolume"":140},{""year"":2025,""month"":12,""searchVolume"":90},{""year"":2025,""month"":11,""searchVolume"":110},{""year"":2025,""month"":10,""searchVolume"":170},{""year"":2025,""month"":9,""searchVolume"":210},{""year"":2025,""month"":8,""searchVolume"":170}]","ai_overview|organic|people_also_ask|related_searches","22","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","22","0.3779999911785126","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked|openseo_seed","2026-08-31",""
"sick-leave","sick leave","baixa adse","baixa adse","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","140","0","0.029999999329447746","","[{""year"":2026,""month"":6,""search_volume"":140},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":110},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":110},{""year"":2026,""month"":1,""search_volume"":140},{""year"":2025,""month"":12,""search_volume"":110},{""year"":2025,""month"":11,""search_volume"":110},{""year"":2025,""month"":10,""search_volume"":110},{""year"":2025,""month"":9,""search_volume"":110},{""year"":2025,""month"":8,""search_volume"":70},{""year"":2025,""month"":7,""search_volume"":140}]","organic|people_also_ask|ai_overview|images|related_searches","9","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","9","4.73199987411499","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","baixa médica como funciona","baixa médica como funciona","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","140","0","0.27000001072883606","0.27000001072883606","[{""year"":2026,""month"":6,""search_volume"":110},{""year"":2026,""month"":5,""search_volume"":90},{""year"":2026,""month"":4,""search_volume"":90},{""year"":2026,""month"":3,""search_volume"":140},{""year"":2026,""month"":2,""search_volume"":140},{""year"":2026,""month"":1,""search_volume"":140},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":140},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":140},{""year"":2025,""month"":8,""search_volume"":110},{""year"":2025,""month"":7,""search_volume"":110}]","ai_overview|organic|people_also_ask|related_searches","1","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","1","0.5609999895095825","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","baixa médica em inglês","baixa médica em inglês","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","140","0","0","","[{""year"":2026,""month"":7,""search_volume"":140},{""year"":2026,""month"":6,""search_volume"":110},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":110},{""year"":2026,""month"":3,""search_volume"":140},{""year"":2026,""month"":2,""search_volume"":110},{""year"":2026,""month"":1,""search_volume"":140},{""year"":2025,""month"":12,""search_volume"":110},{""year"":2025,""month"":11,""search_volume"":140},{""year"":2025,""month"":10,""search_volume"":170},{""year"":2025,""month"":9,""search_volume"":140},{""year"":2025,""month"":8,""search_volume"":110}]","ai_overview|organic|people_also_ask","9","https://dronline.pt/en/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","9","3.5840001106262207","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","cálculo subsídio natal baixa médica","cálculo subsídio natal baixa médica","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","140","0","0.009999999776482582","","[{""year"":2026,""month"":6,""search_volume"":30},{""year"":2026,""month"":5,""search_volume"":20},{""year"":2026,""month"":4,""search_volume"":20},{""year"":2026,""month"":3,""search_volume"":30},{""year"":2026,""month"":2,""search_volume"":30},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":590},{""year"":2025,""month"":11,""search_volume"":720},{""year"":2025,""month"":10,""search_volume"":170},{""year"":2025,""month"":9,""search_volume"":70},{""year"":2025,""month"":8,""search_volume"":50},{""year"":2025,""month"":7,""search_volume"":40}]","ai_overview|organic|people_also_ask|related_searches","17","https://dronline.pt/simulador-baixa-medica/","","","dronline.pt","17","0.7839999794960022","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P2","competitor_ranked","2026-08-31",""
