keyword,normalized_keyword,ascii_variant,sources,seeds,search_volume,keyword_difficulty,gsc_clicks,gsc_impressions,gsc_position,ranking_url,cluster,status,notes
vypocet denniho prijmu kcal,vypocet denniho prijmu kcal,vypocet denniho prijmu kcal,gsc,,,,1,1,22,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,other target demand,excluded-low-fit,
výpočet hmotnosti cloveka,výpočet hmotnosti cloveka,vypocet hmotnosti cloveka,gsc,,10,,0,1,34,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
výpočet ideální váhy podle věku,výpočet ideální váhy podle věku,vypocet idealni vahy podle veku,gsc,,50,,0,1,48,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
výpočet kcal na den,výpočet kcal na den,vypocet kcal na den,gsc,,50,5,0,1,16,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,other target demand,excluded-low-fit,
výpočet nástup na mateřskou dle termínu porodu,výpočet nástup na mateřskou dle termínu porodu,vypocet nastup na materskou dle terminu porodu,gsc,,110,13,0,1,69,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
vyšetření amh,vyšetření amh,vysetreni amh,gsc,,,,0,1,42,,referrals and investigations,excluded-low-fit,
weight test,weight test,weight test,gsc,,10,,0,1,49,https://www.myglobalhealth.online/czechia/en/tools/bmi-calculator,other target demand,excluded-low-fit,
wpd,wpd,wpd,gsc,,2900,14,0,1,4,,other target demand,excluded-low-fit,
zdravotni poradenstvi,zdravotni poradenstvi,zdravotni poradenstvi,gsc,,,,0,1,4,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,
а в уколах,а в уколах,а в уколах,gsc,,,,0,1,3,https://www.myglobalhealth.online/czechia/en/blog/online-doctor-czechia-what-it-solves,other target demand,excluded-low-fit,
так хочу,так хочу,так хочу,gsc,,,,0,1,2,https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained,other target demand,excluded-low-fit,
4u lékař,4u lékař,4u lekar,research:ideas,lékař pro cizince Praha,10,,,,,,online GP and doctor,excluded-low-fit,
abc good doctor online,abc good doctor online,abc good doctor online,research:ideas,online konzultace s lékařem,0,,,,,,online GP and doctor,excluded-low-fit,
ai medical diagnosis online free,ai medical diagnosis online free,ai medical diagnosis online free,research:ideas,online konzultace s lékařem,10,,,,,,other target demand,excluded-low-fit,
alergologie bez doporučení lékaře brno,alergologie bez doporučení lékaře brno,alergologie bez doporuceni lekare brno,research:ideas,druhý názor lékaře,,,,,,,referrals and investigations,excluded-local-provider-intent,
alchymista vlastní názor,alchymista vlastní názor,alchymista vlastni nazor,research:ideas,druhý názor lékaře,,,,,,,other target demand,excluded-off-topic,
allina health everyday online,allina health everyday online,allina health everyday online,research:ideas,online konzultace s lékařem,0,,,,,,other target demand,excluded-low-fit,
als u lékaře,als u lékaře,als u lekare,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
alternativní praktický lékař praha,alternativní praktický lékař praha,alternativni prakticky lekar praha,research:ideas,anglicky mluvící lékař Praha,,,,,,,online GP and doctor,excluded-low-fit,
amoksiklav cena na recept,amoksiklav cena na recept,amoksiklav cena na recept,research:ideas,online recept na léky,40,0,,,,,ePrescription and treatment renewal,excluded-medication-purchase-intent,
angelsounds názor lékaře,angelsounds názor lékaře,angelsounds nazor lekare,research:ideas,druhý názor lékaře,70,0,,,,,online GP and doctor,excluded-low-fit,
anglicky mluvící praktický lékař praha,anglicky mluvící praktický lékař praha,anglicky mluvici prakticky lekar praha,research:ideas,anglicky mluvící lékař Praha,,,,,,,online GP and doctor,excluded-low-fit,
asistentka lékaře brno,asistentka lékaře brno,asistentka lekare brno,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
ask doctor online free,ask doctor online free,ask doctor online free,research:ideas,online konzultace s lékařem,10,67,,,,,online GP and doctor,excluded-low-fit,
avenier pro lékaře,avenier pro lékaře,avenier pro lekare,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
babička vlastní názor,babička vlastní názor,babicka vlastni nazor,research:ideas,druhý názor lékaře,,,,,,,other target demand,excluded-off-topic,
bechyňova 3 praha 6 praktický lékař,bechyňova 3 praha 6 praktický lékař,bechynova 3 praha 6 prakticky lekar,research:ideas,anglicky mluvící lékař Praha|lékař online Praha,10,,,,,,online GP and doctor,excluded-low-fit,
belogent mast cena na recept,belogent mast cena na recept,belogent mast cena na recept,research:ideas,online recept na léky,40,,,,,,ePrescription and treatment renewal,excluded-medication-purchase-intent,
beranová sportovní lékař,beranová sportovní lékař,beranova sportovni lekar,research:ideas,lékař pro cizince Praha,20,,,,,,online GP and doctor,excluded-low-fit,
beroun praktický lékař,beroun praktický lékař,beroun prakticky lekar,research:ideas,lékař pro cizince Praha,,0,,,,,online GP and doctor,excluded-low-fit,
best online library for medical students,best online library for medical students,best online library for medical students,research:ideas,online konzultace s lékařem,0,,,,,,other target demand,excluded-low-fit,
bexsero názor lékaře,bexsero názor lékaře,bexsero nazor lekare,research:ideas,druhý názor lékaře,30,0,,,,,online GP and doctor,excluded-low-fit,
bez praktického lékaře,bez praktického lékaře,bez praktickeho lekare,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
bezinfekčnost od lékaře,bezinfekčnost od lékaře,bezinfekcnost od lekare,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
bezúhonnost lékaře,bezúhonnost lékaře,bezuhonnost lekare,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
bídníci vlastní názor,bídníci vlastní názor,bidnici vlastni nazor,research:ideas,druhý názor lékaře,,,,,,,other target demand,excluded-off-topic,
bílá nemoc vlastní názor,bílá nemoc vlastní názor,bila nemoc vlastni nazor,research:ideas,druhý názor lékaře,,,,,,,other target demand,excluded-off-topic,
blog lékaře,blog lékaře,blog lekare,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
book online doctor appointment,book online doctor appointment,book online doctor appointment,research:ideas,lékař online Praha|online konzultace s lékařem|online lékař pro cizince,0,,,,,,online GP and doctor,excluded-low-fit,
bylo nás pět vlastní názor,bylo nás pět vlastní názor,bylo nas pet vlastni nazor,research:ideas,druhý názor lékaře,10,,,,,,other target demand,excluded-off-topic,
celodenní lékař,celodenní lékař,celodenni lekar,research:ideas,lékař pro cizince Praha,20,,,,,,online GP and doctor,excluded-low-fit,
cévní lékař pardubice,cévní lékař pardubice,cevni lekar pardubice,research:ideas,anglicky mluvící lékař Praha,,,,,,,online GP and doctor,excluded-low-fit,
cévní lékař praha 10,cévní lékař praha 10,cevni lekar praha 10,research:ideas,anglicky mluvící lékař Praha,,,,,,,online GP and doctor,excluded-low-fit,
contact gp online,contact gp online,contact gp online,research:ideas,lékař online Praha|online konzultace s lékařem|online lékař pro cizince,0,,,,,,online GP and doctor,excluded-low-fit,
čekání u lékaře,čekání u lékaře,cekani u lekare,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
čepice pro lékaře,čepice pro lékaře,cepice pro lekare,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
čestné prohlášení o návštěvě lékaře,čestné prohlášení o návštěvě lékaře,cestne prohlaseni o navsteve lekare,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
čínská medicína lékař praha,čínská medicína lékař praha,cinska medicina lekar praha,research:ideas,anglicky mluvící lékař Praha,,,,,,,online GP and doctor,excluded-low-fit,
čištění uší u lékaře,čištění uší u lékaře,cisteni usi u lekare,research:ideas,druhý názor lékaře,10,,,,,,online GP and doctor,excluded-low-fit,
člk číslo lékaře,člk číslo lékaře,clk cislo lekare,research:ideas,druhý názor lékaře,70,28,,,,,online GP and doctor,excluded-low-fit,
člk id lékaře,člk id lékaře,clk id lekare,research:ideas,druhý názor lékaře,30,,,,,,online GP and doctor,excluded-low-fit,
čpzp revizní lékař kontakt,čpzp revizní lékař kontakt,cpzp revizni lekar kontakt,research:ideas,lékař online Praha|online lékař pro cizince,,,,,,,online GP and doctor,excluded-low-fit,
čtecí tabule u lékaře,čtecí tabule u lékaře,cteci tabule u lekare,research:ideas,druhý názor lékaře,10,,,,,,online GP and doctor,excluded-low-fit,
dárek pro lékaře,dárek pro lékaře,darek pro lekare,research:ideas,druhý názor lékaře,110,0,,,,,online GP and doctor,excluded-off-topic,
dárky pro lékaře,dárky pro lékaře,darky pro lekare,research:ideas,druhý názor lékaře,110,0,,,,,online GP and doctor,excluded-off-topic,
děkujeme za názor,děkujeme za názor,dekujeme za nazor,research:ideas,druhý názor lékaře,,,,,,,other target demand,excluded-low-fit,
děkujeme za názor a posíláme klíčenku,děkujeme za názor a posíláme klíčenku,dekujeme za nazor a posilame klicenku,research:ideas,druhý názor lékaře,170,0,,,,,other target demand,excluded-low-fit,
dermatologie pohotovost praha,dermatologie pohotovost praha,dermatologie pohotovost praha,research:ideas,lékař pro cizince Praha,50,1,,,,,online dermatology,excluded-low-fit,
dětský a dorostový lékař bartas bert mudr znojmo fotky,dětský a dorostový lékař bartas bert mudr znojmo fotky,detsky a dorostovy lekar bartas bert mudr znojmo fotky,research:ideas,anglicky mluvící lékař Praha,10,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský a dorostový lékař lázníček rudolf mudr fotky,dětský a dorostový lékař lázníček rudolf mudr fotky,detsky a dorostovy lekar laznicek rudolf mudr fotky,research:ideas,anglicky mluvící lékař Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
detsky kožní lekar ústí nad labem,detsky kožní lekar ústí nad labem,detsky kozni lekar usti nad labem,research:ideas,kožní lékař online,,,,,,,online dermatology,excluded-local-or-offline-intent,
dětský kožní lékař,dětský kožní lékař,detsky kozni lekar,research:ideas,kožní lékař online,70,0,,,,,online dermatology,excluded-local-or-offline-intent,
dětský kožní lékař ústí nad labem,dětský kožní lékař ústí nad labem,detsky kozni lekar usti nad labem,research:ideas,kožní lékař online,,,,,,,online dermatology,excluded-local-or-offline-intent,
dětský lékař aš,dětský lékař aš,detsky lekar as,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař bílovice,dětský lékař bílovice,detsky lekar bilovice,research:ideas,lékař pro cizince Praha,10,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař bolatice,dětský lékař bolatice,detsky lekar bolatice,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař broumov,dětský lékař broumov,detsky lekar broumov,research:ideas,lékař pro cizince Praha,30,40,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař bruntál,dětský lékař bruntál,detsky lekar bruntal,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař brušperk,dětský lékař brušperk,detsky lekar brusperk,research:ideas,lékař pro cizince Praha,50,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař český těšín,dětský lékař český těšín,detsky lekar cesky tesin,research:ideas,lékař pro cizince Praha,20,40,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař děčín,dětský lékař děčín,detsky lekar decin,research:ideas,lékař pro cizince Praha,30,0,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař dobruška,dětský lékař dobruška,detsky lekar dobruska,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař dobřany,dětský lékař dobřany,detsky lekar dobrany,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař dolní benešov,dětský lékař dolní benešov,detsky lekar dolni benesov,research:ideas,lékař pro cizince Praha,40,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař dolní poustevna,dětský lékař dolní poustevna,detsky lekar dolni poustevna,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař domažlice,dětský lékař domažlice,detsky lekar domazlice,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař frenštát pod radhoštěm,dětský lékař frenštát pod radhoštěm,detsky lekar frenstat pod radhostem,research:ideas,anglicky mluvící lékař Praha,10,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař frýdek-místek,dětský lékař frýdek-místek,detsky lekar frydek-mistek,research:ideas,anglicky mluvící lékař Praha|lékař online Praha,50,0,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař havířov šumbark,dětský lékař havířov šumbark,detsky lekar havirov sumbark,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař havířov-šumbark,dětský lékař havířov-šumbark,detsky lekar havirov-sumbark,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař havlíčkův brod,dětský lékař havlíčkův brod,detsky lekar havlickuv brod,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař horšovský týn,dětský lékař horšovský týn,detsky lekar horsovsky tyn,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař hranice,dětský lékař hranice,detsky lekar hranice,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař hustopeče,dětský lékař hustopeče,detsky lekar hustopece,research:ideas,lékař pro cizince Praha,30,40,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař chodov u karlových varů,dětský lékař chodov u karlových varů,detsky lekar chodov u karlovych varu,research:ideas,anglicky mluvící lékař Praha,10,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař chomutov poliklinika,dětský lékař chomutov poliklinika,detsky lekar chomutov poliklinika,research:ideas,anglicky mluvící lékař Praha|lékař online Praha,40,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař chrudim,dětský lékař chrudim,detsky lekar chrudim,research:ideas,lékař pro cizince Praha,20,40,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař ivančice,dětský lékař ivančice,detsky lekar ivancice,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař jablonec nad jizerou,dětský lékař jablonec nad jizerou,detsky lekar jablonec nad jizerou,research:ideas,anglicky mluvící lékař Praha|lékař online Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař jablonec nad nisou,dětský lékař jablonec nad nisou,detsky lekar jablonec nad nisou,research:ideas,lékař pro cizince Praha,30,0,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař jaroměř,dětský lékař jaroměř,detsky lekar jaromer,research:ideas,lékař pro cizince Praha,30,44,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař jeseník,dětský lékař jeseník,detsky lekar jesenik,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař jičín,dětský lékař jičín,detsky lekar jicin,research:ideas,lékař pro cizince Praha,,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař jihlava,dětský lékař jihlava,detsky lekar jihlava,research:ideas,lékař pro cizince Praha,40,0,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař jilemnice,dětský lékař jilemnice,detsky lekar jilemnice,research:ideas,lékař pro cizince Praha,20,38,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař jílové u děčína,dětský lékař jílové u děčína,detsky lekar jilove u decina,research:ideas,anglicky mluvící lékař Praha,10,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař jindřichův hradec,dětský lékař jindřichův hradec,detsky lekar jindrichuv hradec,research:ideas,anglicky mluvící lékař Praha|lékař online Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař kaplice,dětský lékař kaplice,detsky lekar kaplice,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař karlovy vary,dětský lékař karlovy vary,detsky lekar karlovy vary,research:ideas,lékař pro cizince Praha,70,0,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař karviná,dětský lékař karviná,detsky lekar karvina,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař kladno kročehlavy,dětský lékař kladno kročehlavy,detsky lekar kladno krocehlavy,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař kladno-kročehlavy,dětský lékař kladno-kročehlavy,detsky lekar kladno-krocehlavy,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař kolín,dětský lékař kolín,detsky lekar kolin,research:ideas,lékař pro cizince Praha,30,42,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař kroměříž,dětský lékař kroměříž,detsky lekar kromeriz,research:ideas,lékař pro cizince Praha,30,44,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař kutná hora,dětský lékař kutná hora,detsky lekar kutna hora,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař letovice,dětský lékař letovice,detsky lekar letovice,research:ideas,lékař pro cizince Praha,,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař louny,dětský lékař louny,detsky lekar louny,research:ideas,lékař pro cizince Praha,30,43,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař mariánské lázně,dětský lékař mariánské lázně,detsky lekar marianske lazne,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař milovice,dětský lékař milovice,detsky lekar milovice,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař mladá boleslav,dětský lékař mladá boleslav,detsky lekar mlada boleslav,research:ideas,lékař pro cizince Praha,40,40,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař most,dětský lékař most,detsky lekar most,research:ideas,lékař pro cizince Praha,70,0,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař mšeno,dětský lékař mšeno,detsky lekar mseno,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař němčice nad hanou,dětský lékař němčice nad hanou,detsky lekar nemcice nad hanou,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař nový jičín,dětský lékař nový jičín,detsky lekar novy jicin,research:ideas,lékař pro cizince Praha,20,40,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař nymburk,dětský lékař nymburk,detsky lekar nymburk,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař ostrava jih,dětský lékař ostrava jih,detsky lekar ostrava jih,research:ideas,lékař pro cizince Praha,50,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař ostrava poruba,dětský lékař ostrava poruba,detsky lekar ostrava poruba,research:ideas,lékař pro cizince Praha,30,16,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař ostrava-jih,dětský lékař ostrava-jih,detsky lekar ostrava-jih,research:ideas,lékař pro cizince Praha,50,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař ostrava-poruba,dětský lékař ostrava-poruba,detsky lekar ostrava-poruba,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař ostrava-zábřeh,dětský lékař ostrava-zábřeh,detsky lekar ostrava-zabreh,research:ideas,lékař pro cizince Praha,20,42,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař otrokovice,dětský lékař otrokovice,detsky lekar otrokovice,research:ideas,lékař pro cizince Praha,,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař pelhřimov,dětský lékař pelhřimov,detsky lekar pelhrimov,research:ideas,lékař pro cizince Praha,30,0,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař písek,dětský lékař písek,detsky lekar pisek,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař poděbrady,dětský lékař poděbrady,detsky lekar podebrady,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař polanka nad odrou,dětský lékař polanka nad odrou,detsky lekar polanka nad odrou,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař pozořice,dětský lékař pozořice,detsky lekar pozorice,research:ideas,lékař pro cizince Praha,20,39,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař prostějov,dětský lékař prostějov,detsky lekar prostejov,research:ideas,lékař pro cizince Praha,50,42,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař rokytnice nad jizerou,dětský lékař rokytnice nad jizerou,detsky lekar rokytnice nad jizerou,research:ideas,anglicky mluvící lékař Praha,10,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař rožnov pod radhoštěm,dětský lékař rožnov pod radhoštěm,detsky lekar roznov pod radhostem,research:ideas,anglicky mluvící lékař Praha,10,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař stráž nad nisou,dětský lékař stráž nad nisou,detsky lekar straz nad nisou,research:ideas,lékař pro cizince Praha,10,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař svitavy,dětský lékař svitavy,detsky lekar svitavy,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař šlapanice,dětský lékař šlapanice,detsky lekar slapanice,research:ideas,lékař pro cizince Praha,,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař šternberk,dětský lékař šternberk,detsky lekar sternberk,research:ideas,lékař pro cizince Praha,30,42,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař šumperk,dětský lékař šumperk,detsky lekar sumperk,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař trutnov,dětský lékař trutnov,detsky lekar trutnov,research:ideas,lékař pro cizince Praha,20,38,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař třebíč,dětský lékař třebíč,detsky lekar trebic,research:ideas,lékař pro cizince Praha,30,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař třeboň,dětský lékař třeboň,detsky lekar trebon,research:ideas,lékař pro cizince Praha,30,6,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař turnov,dětský lékař turnov,detsky lekar turnov,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař tuřany,dětský lékař tuřany,detsky lekar turany,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař vimperk,dětský lékař vimperk,detsky lekar vimperk,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař vrchlabí paukert,dětský lékař vrchlabí paukert,detsky lekar vrchlabi paukert,research:ideas,lékař pro cizince Praha,40,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař znojmo,dětský lékař znojmo,detsky lekar znojmo,research:ideas,lékař pro cizince Praha,50,0,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař žatec,dětský lékař žatec,detsky lekar zatec,research:ideas,lékař pro cizince Praha,40,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský lékař žebrák,dětský lékař žebrák,detsky lekar zebrak,research:ideas,lékař pro cizince Praha,20,,,,,,online paediatrics,excluded-local-or-offline-intent,
dětský psycholog hrazený pojišťovnou,dětský psycholog hrazený pojišťovnou,detsky psycholog hrazeny pojistovnou,research:related,psycholog online,,0,,,,,online paediatrics,excluded-local-or-offline-intent,
dial a doctor online booking,dial a doctor online booking,dial a doctor online booking,research:ideas,lékař online Praha|online konzultace s lékařem|online lékař pro cizince,0,,,,,,online GP and doctor,excluded-low-fit,
dobřichovice kožní lékař,dobřichovice kožní lékař,dobrichovice kozni lekar,research:ideas,kožní lékař online,,,,,,,online dermatology,excluded-local-or-offline-intent,
doctor appointment online,doctor appointment online,doctor appointment online,research:ideas,lékař online Praha|online konzultace s lékařem|online lékař pro cizince,10,,,,,,online GP and doctor,excluded-low-fit,
doctor foster online cz,doctor foster online cz,doctor foster online cz,research:ideas,dětský lékař online|hubnutí s lékařem online|lékař online Praha|lékařská zpráva online|mužské zdraví online|neschopenka online|online lékař pro cizince|online pohotovost pro děti,10,,,,,,online GP and doctor,excluded-low-fit,
doctor online free,doctor online free,doctor online free,research:ideas,online konzultace s lékařem|online lékař pro cizince,10,,,,,,online GP and doctor,excluded-low-fit,
doctor who den doktora online,doctor who den doktora online,doctor who den doktora online,research:ideas,dětský lékař online|lékař online Praha|online lékař pro cizince,,,,,,,online GP and doctor,excluded-low-fit,
doctor's diary online,doctor's diary online,doctor's diary online,research:ideas,lékař online Praha|online konzultace s lékařem|online lékař pro cizince,10,,,,,,online GP and doctor,excluded-low-fit,
doktor martin online,doktor martin online,doktor martin online,research:ideas,dětský lékař online|hubnutí s lékařem online|lékař online Praha|lékařská zpráva online|mužské zdraví online|neschopenka online|online lékař pro cizince|online pohotovost pro děti,140,0,,,,,online GP and doctor,excluded-off-topic,
doktor na telefonu,doktor na telefonu,doktor na telefonu,research:related,lékař na telefonu|lékař online|praktický lékař online,90,0,,,,,online GP and doctor,excluded-low-fit,
doktor na tripu online,doktor na tripu online,doktor na tripu online,research:ideas,hubnutí s lékařem online,110,0,,,,,online GP and doctor,excluded-off-topic,
doložení návštěvy lékaře,doložení návštěvy lékaře,dolozeni navstevy lekare,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
domácí lékař,domácí lékař,domaci lekar,research:ideas,lékař pro cizince Praha,140,0,,,,,online GP and doctor,excluded-low-fit,
domácí lékař kniha,domácí lékař kniha,domaci lekar kniha,research:ideas,lékař pro cizince Praha,50,0,,,,,online GP and doctor,excluded-low-fit,
domov pro seniory malešice prak lékař fotky,domov pro seniory malešice prak lékař fotky,domov pro seniory malesice prak lekar fotky,research:ideas,anglicky mluvící lékař Praha,10,,,,,,online GP and doctor,excluded-low-fit,
domov pro seniory malešice prak lékař recenze,domov pro seniory malešice prak lékař recenze,domov pro seniory malesice prak lekar recenze,research:ideas,anglicky mluvící lékař Praha,10,,,,,,online GP and doctor,excluded-low-fit,
domov pro seniory malešice prak lékař rektorská praha 10,domov pro seniory malešice prak lékař rektorská praha 10,domov pro seniory malesice prak lekar rektorska praha 10,research:ideas,anglicky mluvící lékař Praha|lékař online Praha,40,,,,,,online GP and doctor,excluded-low-fit,
domov pro seniory malešice prak lékař rektorská praha praha 10,domov pro seniory malešice prak lékař rektorská praha praha 10,domov pro seniory malesice prak lekar rektorska praha praha 10,research:ideas,anglicky mluvící lékař Praha,,,,,,,online GP and doctor,excluded-low-fit,
domov pro seniory malešice prak.lékař rektorská praha 10,domov pro seniory malešice prak.lékař rektorská praha 10,domov pro seniory malesice prak.lekar rektorska praha 10,research:ideas,anglicky mluvící lékař Praha,40,,,,,,online GP and doctor,excluded-low-fit,
dr max u lékaře,dr max u lékaře,dr max u lekare,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
druh lékaře krizovky,druh lékaře krizovky,druh lekare krizovky,research:ideas,druhý názor lékaře,,,,,,,online GP and doctor,excluded-low-fit,
